,user_id,post,location
6,1,"Rockall is probably the most difficult island to land on in the world, due to its sheer sides and the rough surrounding North Atlantic seas, which create huge swells even in calm conditions. In 2005, I sailed with British TV personality Ben Fogle from Mallaig, Scotland, on the Eda Frandsen (<a href=""http://www.eda-frandsen.co.uk/"">http://www.eda-frandsen.co.uk/)</a> to attempt to land on Rockall, but we turned back in the middle of the night 50 nautical miles away, in the midst of a worsening gale. We spent 2 very nice days at St. Kilda and cruising the Outer Hebrides, but did not approach Rockall. Ben dropped me off at the dock in the tiny outer Hebrides settlement of Leverburgh, and eventually was able to sail back to Rockall the following week, but was unable to land. Ben writes about this adventure in his book &quot;Offshore&quot; (<a href=""http://www.benfogle.com/books/offshore"">http://www.benfogle.com/books/offshore).</a></p><p>In 2008, I joined &quot;Island Man&quot; Andy Strangeway, 7 other passengers, and 3 crew in Leverburgh to board the Elinca (<a href=""http://www.beyondthebluehorizon.co.uk/"">http://www.beyondthebluehorizon.co.uk/</a>), skippered by Angus Smith . Conditions were ideal for the voyage out; in fact, we had to motor due to lack of wind! Nevertheless, swells at Rockall ranged from 15-20 feet, making approach to the side of the island by dinghy impossible. After waiting all day in vain for the swells to subside, Angus sent out his son Innis with a kayak to investigate more closely. Videographer and erstwhile surf instructor Mark Lumsden accompanied Innis with a surfboard.</p><p>Mark astonished us all by bodysurfing the swell towards the rock, then grasping the skirt of kelp, and hauling himself up into a crag in the rock face. Having thus proven the possibility of landing, he climbed to the top and back down, then returned to the ship and gave me his wetsuit to follow. It was difficult, but I landed on the rock! Four other passengers were able to land this way (in sequence, using the same wetsuit) and two of the others were also able to scramble to the top of the rock.</p><p>Unfortunately, Andy Strangeway, the organizer, was unable to land in 2008, but the upside for MTP members is that he will organize another attempt in 2009 (<a href=""http://islandmanrockallexpedition2009.com/"">http://islandmanrockallexpedition2009.com/</a>).</p>",569
7,1,"The Coral Sea Islands Territory consists of the section of the Pacific Ocean outside of Australian Territorial Waters between Australia, Noumea, and Papua New Guinea. The only populated island within The Coral Sea Islands Territory is Willis Island, which has a permanent weather station staffed with 4 people on 6-month shifts. Several dive companies sail into the Coral Sea Islands Territory; the best being Tusa Dive company in Cairns. I chartered their boat TUSA IV to go to Willis Island, a 12 hour overnight run. The 4 inhabitants of Willis are VERY eager for outside contact, so no permits are necessary to visit. It is advisable to arrange mail delivery for the group before departing from Cairns. Note that, although P&amp;O Cruises advertises that they stop at Willis Island, this is a waste pickup service, and no passengers will be brought ashore.",13
8,1,"Clipperton Island is a remote, uninhabited and barren island 700 miles off the Pacific Coast of Mexico. It is an eerie place, and all who have attempted to settle here have either died, fled, or been driven mad (or some combination of the above). Claimed by France, the island was settled for several years by a Mexican garrison. The story of their subsequent downfall is epic in its drama. During WWII, the US Navy tried and failed to land enough equipment to construct a runway on Clipperton. The island was familiar to the US, since FDR made two fishing trips to the island.Although mainly devoid of scenery, Clipperton is home to abundant bird and sea life. The incessant frightened calls of the nesting boobies drove many visitors mad, as did the ubiquitous beady red-eyed land crabs which hide in the sand during the sunny days, then energe at night to swarm and devour any organic materials they can find. Clipperton is also home to some of the most spectacular tuna fishing in the world. In recent years, it has been visited annually by passenger sportfishing boats out of San Diego, including the Royal Star, Red Rooster, Royal Polaris, and Excel. I visited on the Royal Star, and highly recommend their service, whether or not one is a skilled angler. Landing is difficult, due to the encircling reefs, and the ubiquitous sharks. It is rare that a dinghy can actually land on the beach; the US Navy lost several vessels trying to land during WWII. I had to swim roughly 50M through the surf in order to land, and ruined my camera along the way!",10
9,1,"My first visit to Egypt was in April, 2000. Because of my wife&apos;s status as a hotel GM, and our recent complaints about sister property Rajvilas in Jaipur, we were awarded the 2nd biggest suite in the Mena House Oberoi, with 3 bedrooms, for US$75/night. I will never forget looking out at the full moon over the pyramids from our enormous balcony, which was by itself about 50 square meters. The corridor of the suite itself was about 30 meters long.",372
10,1,"Market Reef is a tiny island shared between Sweden and Finland in the Bothnian Sea. It is uninhabited, but has an abandoned lighthouse. There is a low stone wall which indicates the international border. Market Reef is said to be the smallest island shared by two nations!</P><P>Because Market Reef is on the DXCC list, Finnish DXers visit regularly. So the easiest way would be to tag along with them. Or, if this is not convenient, one can sail (6+ hours) or take a helicopter (20 minutes) starting from Mariehamn, in the Aland islands. Charles chartered the Air Ambulance helicopter from Mariehamn Airport (MHQ). The helicopter company is right next door to the main passenger terminal, and the contact information is: Sk</P>",296
11,1,"Malpelo is a dramatic, barren rock some 300 miles off the Colombian Pacific coast. Six Colombian sailors and marines stand watch on the island, extending Colombia&apos;s territorial waters far into the Pacific. These troops have little to do on the desolate islands, and are rotated monthly. Because Malpelo is designated a National Park, a permit must be obtained from the Colombian Ministry of the Environment before landing can be considered. And even if a permit and sea transportation is obtained, landing is still difficult. Because of the sheer cliffs on all sides, the only access is via a steel catwalk drilled into a cliff face. A Colombian Marine will release a rope ladder from the catwalk, and the landing party must jump from his boat onto the rope ladder, climb up to the catwalk, then scramble up a steep rock face (there are no paths) to the shack where the 6 troops live. </P><P>The only company visiting Malpelo regularly is the Dive liveaboard company Undersea Hunter. Charles visited Malpelo from the ship Sea Hunter and skipped diving one day in order to land on Malpelo and spend some quality time with the Colombians. Undersea Hunter company was very helpful in working with the Colombian government and obtaining the landing permit on Charles&apos;s behalf. For those wishing to make their own arrangements, the permit office is located at: No. 20-30, Carrera 10, 4th floor, Bogota.</P>",172
12,1,"Roughly 300 miles off the Pacific coast of Costa Rica, Cocos Island is one of the world&apos;s true jewels. Physically, it is an archetypal ""tropical island,"" with dramatic hills, beaches, jungles, and waterfalls. Historically, it has a rich association with pirates and buried treasure, and, most people feel, was the basis for <I>Treasure Island</I> by Robert Louis Stevenson. And recreationally, it is one of the world&apos;s best dive sites, chock-a-block with an incredible diversity of species.</P><P>Cocos is visited by dive liveaboard boats as well as private yachts which have obtained a permit from the Costa Rican government (Cocos is a Costa Rican national park). Charles visited on the ship Sea Hunter, run by the dive company Undersea Hunter. Landings can be made most days while near the island; however, they will be wet landings on the beach, as there is no dock.</P>",155
13,1,"Chechnya is an Autonomous Republic of Russia located in the northern foothills of the Caucasus mountains. Because of the rugged terrain, and history of violence and criminal activity in the area, Chechnya has historically been the most dangerous place in the most dangerous region of Russia. Currently, police, army and Chechen rebels operate in a complex web of shifting alliances and organized crime, with ubiquitous checkpoints throughout the region, making it nearly impossible for a foreigner to even approach Chechnya, let alone enter, without a full military escort.<BR></P><P>The safest large city near Chechnya is Vladikavkaz, capital of North Ossetia. The main road from Vladikavkaz to Chechnya passes through Nazran and Ingushetia. However, due to heavy security, and the presence of armed gangs, it is inadvisable to use this road when traveling privately. On the opposite side of Chechnya lies Dagestan, which is often just as dangerous, and so an approach from the East is inadvisable. There is no legal border crossing between Chechnya and the Republic of Georgia, although terrorists have in the past used the rugged mountain trails to occupy small villages in the Pankisi Gorge area of Georgia. Assistance in counterterrorism in the Pankisi area is the primary tactical reason that the US military has given for its presence in Georgia. The safest border area to Chechnya lies to the northwest. If already in North Ossetia, there is a small border post east of the town of Mozdok. The Russian army staff there are friendly and will not ask for bribes, which is almost unheard of in the region. They will however, call in the KGB to interview any foreigners, so one should be prepared for that. If one has not yet entered North Ossetia, it might be better to approach Chechnya by flying to Mineraly Vody, and traveling by land to the main road/rail border at Terek. Of course, this all assumes that the traveler has a valid visa to travel freely within Russia. Normal Russian tourist visas must specify exact dates and locations of travel, and cities anywhere in the Caucasus, let alone Chechnya, will normally not be approved. The easiest way to get around this is to obtain a Russian Tourist Visa Support Letter, which eliminates the need to show specific hotel reservations and other travel plans in advance of obtaining a visa. For non-Russian speakers, it is also highly recommended to travel with a Russian-speaking guide who is familiar with the region. For travel within Russia, Charles uses Mikhail ""Misha"" Rybochkin, a former paratrooper and current translator. </P>",486
14,1,"Franz Josef Land is an Arctic archipelago of 191 islands situated roughly 250 miles north of Novaya Zemlya, and 300 miles east-northeast of Svalbard. It is the northernmost land in Russia.<BR></P><P>Quark Expeditions attempts to land at Franz Josef twice annually on its North Pole voyages. Additionally, Poseidon has begun offering this service, both on the Yamal and on the Kapitan Dranitsyn. Landing on Franz Josef Land by other means is near impossible. Such a landing is rare even for Russians, requires a special permit, and is restricted to only a few scientists per year.</P>",265
15,1,"Kingman Reef is a low pile of coral, roughly 400m long and less than 10m wide, rising to roughly 8 feet above sea level at high tide. It has no vegetation, save for coconuts which float 33 miles from Palmyra Atoll, land, sprout, and feed on themselves until dying.</P><P>The only way to reach Kingman Reef is by private boat. Bill Austin and the Machias have been there several times. The nearest airstrip is at Palmyra Atoll, available only to donors of at least $100,000 to the Nature Conservancy. Perhaps the island manager would take a group of extreme donors on the day trip from Palmyra to Kingman. Alternately, DXpeditions go to Kingman Reef every 5 years or so.</P>",26
16,1,"Banaba, or Ocean Island is a small, phosphorus-producing island near the Equator in the Western Pacific. Today, it is part of Kirbati, but Banaba is geographically distinct from the Gilberts, and Banabans have always had a separate language and culture from Gilbert Islanders. <P>In the early 20th century, Britain annexed Banaba to the Gilbert &amp; Ellice Islands because of its commercial potential. Banabans suffered as the center of their island was completely excavated, then again when they were invaded and occupied by the Japanese during WWII. Following the war, all Banabans were resettled to Rabi, a distant island in Fiji. But a small group returned to their homeland, and now roughly 300 Banabans live in the rusting mining infrastructure. </P><P>Banaba is serviced 1-2 times per month by Kiribati cargo ships from Tarawa. It is a 30-hour sailing from Tarawa. Charles arrived with the Banaba DXpedition of 2004, in a freighter called the Te Taobe. The natives told the group that they were the first white people on the island in 5 years.</P>",5
